pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
0,-3.064037386530911,-9.519016487743933,0.0,1925071.4169626134,5599130.336983512,aw,8.41423035,"(0, np.int64(69), np.int64(78))",1.0,70.0,79.0,0.6634594486741536,0.033698351215571166,0.1416962613351643,0
1,8.106283035551622,-5.8556105870803945,0.0,1925082.5872830355,5599134.000389413,aw,8.41423035,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.057788685193671654,0.40003894129768014,0.25872830355074256,0
2,8.073995824928486,5.900050120044522,0.0,1925082.5549958248,5599145.75605012,aw,8.41423035,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.7662127685907213,0.575605012010783,0.25549958248157056,0
3,-3.116279190721079,9.502042096595805,0.0,1925071.3647208093,5599149.358042097,aw,8.41423035,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.19071691295257356,0.9358042096719146,0.13647208092734217,0
4,-9.999962283228124,-0.027465141816010088,0.0,1925064.4810377166,5599139.828534858,aw,8.41423035,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
5,5.578492828014774,-8.299422737021397,0.02631578947368421,1925080.0594928279,5599131.5565772625,aw,8.440546139473685,"(0, np.int64(69), np.int64(79))",1.0,70.0,80.0,0.07360709010773427,0.1556577262468636,0.005949282785877585,0
6,9.617069162387683,2.7407992859477783,0.02631578947368421,1925084.0980691623,5599142.596799286,aw,8.440546139473685,"(0, np.int64(68), np.int64(79))",1.0,69.0,80.0,0.784246793641869,0.2596799286082387,0.4098069162340835,0
7,0.3651827864992973,9.993329852078567,0.02631578947368421,1925074.8461827864,5599149.849329852,aw,8.440546139473685,"(0, np.int64(68), np.int64(78))",1.0,69.0,79.0,0.2069510553493404,0.9849329851567745,0.48461827863939105,0
8,-9.391373788224723,3.435418223425735,0.02631578947368421,1925065.0896262117,5599143.291418223,aw,8.440546139473685,"(0, np.int64(68), np.int64(77))",1.0,69.0,78.0,0.1395657663799847,0.32914182227104904,0.5089626211673022,0
9,-6.169370988677033,-7.870124624430681,0.02631578947368421,1925068.3116290113,5599131.985875376,aw,8.440546139473685,"(nan, nan, nan)",1.0,70.0,78.0,0.5,0.5,0.5,0
