,0,1,2,sidx,idx_strs,x,y,pargp3,parval1_3,3
0,0,0,60,"(0, 0, 60)",idx0:0_idx1:0_idx2:60,605.0,1205.0,influx_cond_condgr,1.0,1.0
1,0,0,61,"(0, 0, 61)",idx0:0_idx1:0_idx2:61,615.0,1205.0,influx_cond_condgr,1.0,1.0
2,0,0,62,"(0, 0, 62)",idx0:0_idx1:0_idx2:62,625.0,1205.0,influx_cond_condgr,1.0,1.0
3,0,0,63,"(0, 0, 63)",idx0:0_idx1:0_idx2:63,635.0,1205.0,influx_cond_condgr,1.0,1.0
4,0,0,64,"(0, 0, 64)",idx0:0_idx1:0_idx2:64,645.0,1205.0,influx_cond_condgr,1.0,1.0
5,0,0,65,"(0, 0, 65)",idx0:0_idx1:0_idx2:65,655.0,1205.0,influx_cond_condgr,1.0,1.0
6,0,0,66,"(0, 0, 66)",idx0:0_idx1:0_idx2:66,665.0,1205.0,influx_cond_condgr,1.0,1.0
7,0,1,59,"(0, 1, 59)",idx0:0_idx1:1_idx2:59,595.0,1195.0,influx_cond_condgr,1.0,1.0
8,0,1,67,"(0, 1, 67)",idx0:0_idx1:1_idx2:67,675.0,1195.0,influx_cond_condgr,1.0,1.0
9,0,1,68,"(0, 1, 68)",idx0:0_idx1:1_idx2:68,685.0,1195.0,influx_cond_condgr,1.0,1.0
10,0,1,69,"(0, 1, 69)",idx0:0_idx1:1_idx2:69,695.0,1195.0,influx_cond_condgr,1.0,1.0
11,0,1,70,"(0, 1, 70)",idx0:0_idx1:1_idx2:70,705.0,1195.0,influx_cond_condgr,1.0,1.0
12,0,1,71,"(0, 1, 71)",idx0:0_idx1:1_idx2:71,715.0,1195.0,influx_cond_condgr,1.0,1.0
13,0,1,72,"(0, 1, 72)",idx0:0_idx1:1_idx2:72,725.0,1195.0,influx_cond_condgr,1.0,1.0
14,0,1,73,"(0, 1, 73)",idx0:0_idx1:1_idx2:73,735.0,1195.0,influx_cond_condgr,1.0,1.0
15,0,1,74,"(0, 1, 74)",idx0:0_idx1:1_idx2:74,745.0,1195.0,influx_cond_condgr,1.0,1.0
16,0,1,75,"(0, 1, 75)",idx0:0_idx1:1_idx2:75,755.0,1195.0,influx_cond_condgr,1.0,1.0
17,0,1,76,"(0, 1, 76)",idx0:0_idx1:1_idx2:76,765.0,1195.0,influx_cond_condgr,1.0,1.0
18,0,1,77,"(0, 1, 77)",idx0:0_idx1:1_idx2:77,775.0,1195.0,influx_cond_condgr,1.0,1.0
19,0,1,78,"(0, 1, 78)",idx0:0_idx1:1_idx2:78,785.0,1195.0,influx_cond_condgr,1.0,1.0
20,0,1,79,"(0, 1, 79)",idx0:0_idx1:1_idx2:79,795.0,1195.0,influx_cond_condgr,1.0,1.0
21,0,1,80,"(0, 1, 80)",idx0:0_idx1:1_idx2:80,805.0,1195.0,influx_cond_condgr,1.0,1.0
22,0,1,81,"(0, 1, 81)",idx0:0_idx1:1_idx2:81,815.0,1195.0,influx_cond_condgr,1.0,1.0
23,0,2,57,"(0, 2, 57)",idx0:0_idx1:2_idx2:57,575.0,1185.0,influx_cond_condgr,1.0,1.0
24,0,2,58,"(0, 2, 58)",idx0:0_idx1:2_idx2:58,585.0,1185.0,influx_cond_condgr,1.0,1.0
25,0,3,56,"(0, 3, 56)",idx0:0_idx1:3_idx2:56,565.0,1175.0,influx_cond_condgr,1.0,1.0
26,0,4,54,"(0, 4, 54)",idx0:0_idx1:4_idx2:54,545.0,1165.0,influx_cond_condgr,1.0,1.0
27,0,4,55,"(0, 4, 55)",idx0:0_idx1:4_idx2:55,555.0,1165.0,influx_cond_condgr,1.0,1.0
28,0,5,53,"(0, 5, 53)",idx0:0_idx1:5_idx2:53,535.0,1155.0,influx_cond_condgr,1.0,1.0
29,0,6,51,"(0, 6, 51)",idx0:0_idx1:6_idx2:51,515.0,1145.0,influx_cond_condgr,1.0,1.0
30,0,6,52,"(0, 6, 52)",idx0:0_idx1:6_idx2:52,525.0,1145.0,influx_cond_condgr,1.0,1.0
31,0,7,49,"(0, 7, 49)",idx0:0_idx1:7_idx2:49,495.0,1135.0,influx_cond_condgr,1.0,1.0
32,0,7,50,"(0, 7, 50)",idx0:0_idx1:7_idx2:50,505.0,1135.0,influx_cond_condgr,1.0,1.0
33,0,8,48,"(0, 8, 48)",idx0:0_idx1:8_idx2:48,485.0,1125.0,influx_cond_condgr,1.0,1.0
34,0,9,46,"(0, 9, 46)",idx0:0_idx1:9_idx2:46,465.0,1115.0,influx_cond_condgr,1.0,1.0
35,0,9,47,"(0, 9, 47)",idx0:0_idx1:9_idx2:47,475.0,1115.0,influx_cond_condgr,1.0,1.0
36,0,10,45,"(0, 10, 45)",idx0:0_idx1:10_idx2:45,455.0,1105.0,influx_cond_condgr,1.0,1.0
37,0,11,43,"(0, 11, 43)",idx0:0_idx1:11_idx2:43,435.0,1095.0,influx_cond_condgr,1.0,1.0
38,0,11,44,"(0, 11, 44)",idx0:0_idx1:11_idx2:44,445.0,1095.0,influx_cond_condgr,1.0,1.0
39,0,12,42,"(0, 12, 42)",idx0:0_idx1:12_idx2:42,425.0,1085.0,influx_cond_condgr,1.0,1.0
40,0,13,40,"(0, 13, 40)",idx0:0_idx1:13_idx2:40,405.0,1075.0,influx_cond_condgr,1.0,1.0
41,0,13,41,"(0, 13, 41)",idx0:0_idx1:13_idx2:41,415.0,1075.0,influx_cond_condgr,1.0,1.0
42,0,14,39,"(0, 14, 39)",idx0:0_idx1:14_idx2:39,395.0,1065.0,influx_cond_condgr,1.0,1.0
43,0,15,37,"(0, 15, 37)",idx0:0_idx1:15_idx2:37,375.0,1055.0,influx_cond_condgr,1.0,1.0
44,0,15,38,"(0, 15, 38)",idx0:0_idx1:15_idx2:38,385.0,1055.0,influx_cond_condgr,1.0,1.0
45,0,16,36,"(0, 16, 36)",idx0:0_idx1:16_idx2:36,365.0,1045.0,influx_cond_condgr,1.0,1.0
46,0,17,34,"(0, 17, 34)",idx0:0_idx1:17_idx2:34,345.0,1035.0,influx_cond_condgr,1.0,1.0
47,0,17,35,"(0, 17, 35)",idx0:0_idx1:17_idx2:35,355.0,1035.0,influx_cond_condgr,1.0,1.0
48,0,18,32,"(0, 18, 32)",idx0:0_idx1:18_idx2:32,325.0,1025.0,influx_cond_condgr,1.0,1.0
49,0,18,33,"(0, 18, 33)",idx0:0_idx1:18_idx2:33,335.0,1025.0,influx_cond_condgr,1.0,1.0
50,0,19,31,"(0, 19, 31)",idx0:0_idx1:19_idx2:31,315.0,1015.0,influx_cond_condgr,1.0,1.0
51,0,20,29,"(0, 20, 29)",idx0:0_idx1:20_idx2:29,295.0,1005.0,influx_cond_condgr,1.0,1.0
52,0,20,30,"(0, 20, 30)",idx0:0_idx1:20_idx2:30,305.0,1005.0,influx_cond_condgr,1.0,1.0
53,0,21,28,"(0, 21, 28)",idx0:0_idx1:21_idx2:28,285.0,995.0,influx_cond_condgr,1.0,1.0
54,0,22,26,"(0, 22, 26)",idx0:0_idx1:22_idx2:26,265.0,985.0,influx_cond_condgr,1.0,1.0
55,0,22,27,"(0, 22, 27)",idx0:0_idx1:22_idx2:27,275.0,985.0,influx_cond_condgr,1.0,1.0
56,0,23,25,"(0, 23, 25)",idx0:0_idx1:23_idx2:25,255.0,975.0,influx_cond_condgr,1.0,1.0
57,0,24,23,"(0, 24, 23)",idx0:0_idx1:24_idx2:23,235.0,965.0,influx_cond_condgr,1.0,1.0
58,0,24,24,"(0, 24, 24)",idx0:0_idx1:24_idx2:24,245.0,965.0,influx_cond_condgr,1.0,1.0
59,0,25,22,"(0, 25, 22)",idx0:0_idx1:25_idx2:22,225.0,955.0,influx_cond_condgr,1.0,1.0
60,0,26,20,"(0, 26, 20)",idx0:0_idx1:26_idx2:20,205.0,945.0,influx_cond_condgr,1.0,1.0
61,0,26,21,"(0, 26, 21)",idx0:0_idx1:26_idx2:21,215.0,945.0,influx_cond_condgr,1.0,1.0
62,0,27,20,"(0, 27, 20)",idx0:0_idx1:27_idx2:20,205.0,935.0,influx_cond_condgr,1.0,1.0
63,0,28,20,"(0, 28, 20)",idx0:0_idx1:28_idx2:20,205.0,925.0,influx_cond_condgr,1.0,1.0
64,0,29,19,"(0, 29, 19)",idx0:0_idx1:29_idx2:19,195.0,915.0,influx_cond_condgr,1.0,1.0
65,0,30,19,"(0, 30, 19)",idx0:0_idx1:30_idx2:19,195.0,905.0,influx_cond_condgr,1.0,1.0
66,0,31,18,"(0, 31, 18)",idx0:0_idx1:31_idx2:18,185.0,895.0,influx_cond_condgr,1.0,1.0
67,0,32,18,"(0, 32, 18)",idx0:0_idx1:32_idx2:18,185.0,885.0,influx_cond_condgr,1.0,1.0
68,0,33,17,"(0, 33, 17)",idx0:0_idx1:33_idx2:17,175.0,875.0,influx_cond_condgr,1.0,1.0
69,0,34,17,"(0, 34, 17)",idx0:0_idx1:34_idx2:17,175.0,865.0,influx_cond_condgr,1.0,1.0
70,0,35,16,"(0, 35, 16)",idx0:0_idx1:35_idx2:16,165.0,855.0,influx_cond_condgr,1.0,1.0
71,0,36,16,"(0, 36, 16)",idx0:0_idx1:36_idx2:16,165.0,845.0,influx_cond_condgr,1.0,1.0
72,0,37,15,"(0, 37, 15)",idx0:0_idx1:37_idx2:15,155.0,835.0,influx_cond_condgr,1.0,1.0
73,0,38,15,"(0, 38, 15)",idx0:0_idx1:38_idx2:15,155.0,825.0,influx_cond_condgr,1.0,1.0
74,0,39,15,"(0, 39, 15)",idx0:0_idx1:39_idx2:15,155.0,815.0,influx_cond_condgr,1.0,1.0
75,0,40,14,"(0, 40, 14)",idx0:0_idx1:40_idx2:14,145.0,805.0,influx_cond_condgr,1.0,1.0
76,0,41,14,"(0, 41, 14)",idx0:0_idx1:41_idx2:14,145.0,795.0,influx_cond_condgr,1.0,1.0
77,0,42,13,"(0, 42, 13)",idx0:0_idx1:42_idx2:13,135.0,785.0,influx_cond_condgr,1.0,1.0
78,0,43,13,"(0, 43, 13)",idx0:0_idx1:43_idx2:13,135.0,775.0,influx_cond_condgr,1.0,1.0
79,0,44,12,"(0, 44, 12)",idx0:0_idx1:44_idx2:12,125.0,765.0,influx_cond_condgr,1.0,1.0
80,0,45,12,"(0, 45, 12)",idx0:0_idx1:45_idx2:12,125.0,755.0,influx_cond_condgr,1.0,1.0
81,0,46,11,"(0, 46, 11)",idx0:0_idx1:46_idx2:11,115.0,745.0,influx_cond_condgr,1.0,1.0
82,0,47,11,"(0, 47, 11)",idx0:0_idx1:47_idx2:11,115.0,735.0,influx_cond_condgr,1.0,1.0
83,0,48,11,"(0, 48, 11)",idx0:0_idx1:48_idx2:11,115.0,725.0,influx_cond_condgr,1.0,1.0
84,0,49,10,"(0, 49, 10)",idx0:0_idx1:49_idx2:10,105.0,715.0,influx_cond_condgr,1.0,1.0
85,0,50,10,"(0, 50, 10)",idx0:0_idx1:50_idx2:10,105.0,705.0,influx_cond_condgr,1.0,1.0
86,0,51,9,"(0, 51, 9)",idx0:0_idx1:51_idx2:9,95.0,695.0,influx_cond_condgr,1.0,1.0
87,0,52,9,"(0, 52, 9)",idx0:0_idx1:52_idx2:9,95.0,685.0,influx_cond_condgr,1.0,1.0
88,0,53,8,"(0, 53, 8)",idx0:0_idx1:53_idx2:8,85.0,675.0,influx_cond_condgr,1.0,1.0
89,0,54,8,"(0, 54, 8)",idx0:0_idx1:54_idx2:8,85.0,665.0,influx_cond_condgr,1.0,1.0
90,0,55,7,"(0, 55, 7)",idx0:0_idx1:55_idx2:7,75.0,655.0,influx_cond_condgr,1.0,1.0
91,0,56,7,"(0, 56, 7)",idx0:0_idx1:56_idx2:7,75.0,645.0,influx_cond_condgr,1.0,1.0
92,0,57,7,"(0, 57, 7)",idx0:0_idx1:57_idx2:7,75.0,635.0,influx_cond_condgr,1.0,1.0
93,0,58,6,"(0, 58, 6)",idx0:0_idx1:58_idx2:6,65.0,625.0,influx_cond_condgr,1.0,1.0
94,0,59,6,"(0, 59, 6)",idx0:0_idx1:59_idx2:6,65.0,615.0,influx_cond_condgr,1.0,1.0
95,0,60,5,"(0, 60, 5)",idx0:0_idx1:60_idx2:5,55.0,605.0,influx_cond_condgr,1.0,1.0
96,0,61,5,"(0, 61, 5)",idx0:0_idx1:61_idx2:5,55.0,595.0,influx_cond_condgr,1.0,1.0
