,0,1,2,sidx,idx_strs,pargp3,parval1_3,3
0,0,1,82,"(0, 1, 82)",idx0:0_idx1:1_idx2:82,outflux_cond_condcn,1.0,1.0
1,0,1,83,"(0, 1, 83)",idx0:0_idx1:1_idx2:83,outflux_cond_condcn,1.0,1.0
2,0,1,84,"(0, 1, 84)",idx0:0_idx1:1_idx2:84,outflux_cond_condcn,1.0,1.0
3,0,1,85,"(0, 1, 85)",idx0:0_idx1:1_idx2:85,outflux_cond_condcn,1.0,1.0
4,0,1,86,"(0, 1, 86)",idx0:0_idx1:1_idx2:86,outflux_cond_condcn,1.0,1.0
5,0,1,87,"(0, 1, 87)",idx0:0_idx1:1_idx2:87,outflux_cond_condcn,1.0,1.0
6,0,1,88,"(0, 1, 88)",idx0:0_idx1:1_idx2:88,outflux_cond_condcn,1.0,1.0
7,0,1,89,"(0, 1, 89)",idx0:0_idx1:1_idx2:89,outflux_cond_condcn,1.0,1.0
8,0,1,90,"(0, 1, 90)",idx0:0_idx1:1_idx2:90,outflux_cond_condcn,1.0,1.0
9,0,1,91,"(0, 1, 91)",idx0:0_idx1:1_idx2:91,outflux_cond_condcn,1.0,1.0
10,0,1,92,"(0, 1, 92)",idx0:0_idx1:1_idx2:92,outflux_cond_condcn,1.0,1.0
11,0,1,93,"(0, 1, 93)",idx0:0_idx1:1_idx2:93,outflux_cond_condcn,1.0,1.0
12,0,1,94,"(0, 1, 94)",idx0:0_idx1:1_idx2:94,outflux_cond_condcn,1.0,1.0
13,0,1,95,"(0, 1, 95)",idx0:0_idx1:1_idx2:95,outflux_cond_condcn,1.0,1.0
14,0,1,96,"(0, 1, 96)",idx0:0_idx1:1_idx2:96,outflux_cond_condcn,1.0,1.0
15,0,1,97,"(0, 1, 97)",idx0:0_idx1:1_idx2:97,outflux_cond_condcn,1.0,1.0
16,0,1,98,"(0, 1, 98)",idx0:0_idx1:1_idx2:98,outflux_cond_condcn,1.0,1.0
17,0,1,99,"(0, 1, 99)",idx0:0_idx1:1_idx2:99,outflux_cond_condcn,1.0,1.0
18,0,1,100,"(0, 1, 100)",idx0:0_idx1:1_idx2:100,outflux_cond_condcn,1.0,1.0
19,0,1,101,"(0, 1, 101)",idx0:0_idx1:1_idx2:101,outflux_cond_condcn,1.0,1.0
20,0,1,102,"(0, 1, 102)",idx0:0_idx1:1_idx2:102,outflux_cond_condcn,1.0,1.0
21,0,2,103,"(0, 2, 103)",idx0:0_idx1:2_idx2:103,outflux_cond_condcn,1.0,1.0
22,0,2,104,"(0, 2, 104)",idx0:0_idx1:2_idx2:104,outflux_cond_condcn,1.0,1.0
23,0,2,105,"(0, 2, 105)",idx0:0_idx1:2_idx2:105,outflux_cond_condcn,1.0,1.0
24,0,2,106,"(0, 2, 106)",idx0:0_idx1:2_idx2:106,outflux_cond_condcn,1.0,1.0
25,0,2,107,"(0, 2, 107)",idx0:0_idx1:2_idx2:107,outflux_cond_condcn,1.0,1.0
26,0,2,108,"(0, 2, 108)",idx0:0_idx1:2_idx2:108,outflux_cond_condcn,1.0,1.0
27,0,2,109,"(0, 2, 109)",idx0:0_idx1:2_idx2:109,outflux_cond_condcn,1.0,1.0
28,0,2,110,"(0, 2, 110)",idx0:0_idx1:2_idx2:110,outflux_cond_condcn,1.0,1.0
29,0,2,111,"(0, 2, 111)",idx0:0_idx1:2_idx2:111,outflux_cond_condcn,1.0,1.0
30,0,2,112,"(0, 2, 112)",idx0:0_idx1:2_idx2:112,outflux_cond_condcn,1.0,1.0
31,0,2,113,"(0, 2, 113)",idx0:0_idx1:2_idx2:113,outflux_cond_condcn,1.0,1.0
32,0,2,114,"(0, 2, 114)",idx0:0_idx1:2_idx2:114,outflux_cond_condcn,1.0,1.0
33,0,2,115,"(0, 2, 115)",idx0:0_idx1:2_idx2:115,outflux_cond_condcn,1.0,1.0
34,0,2,116,"(0, 2, 116)",idx0:0_idx1:2_idx2:116,outflux_cond_condcn,1.0,1.0
35,0,2,117,"(0, 2, 117)",idx0:0_idx1:2_idx2:117,outflux_cond_condcn,1.0,1.0
36,0,2,118,"(0, 2, 118)",idx0:0_idx1:2_idx2:118,outflux_cond_condcn,1.0,1.0
37,0,2,119,"(0, 2, 119)",idx0:0_idx1:2_idx2:119,outflux_cond_condcn,1.0,1.0
38,0,2,120,"(0, 2, 120)",idx0:0_idx1:2_idx2:120,outflux_cond_condcn,1.0,1.0
39,0,2,121,"(0, 2, 121)",idx0:0_idx1:2_idx2:121,outflux_cond_condcn,1.0,1.0
40,0,2,122,"(0, 2, 122)",idx0:0_idx1:2_idx2:122,outflux_cond_condcn,1.0,1.0
41,0,2,123,"(0, 2, 123)",idx0:0_idx1:2_idx2:123,outflux_cond_condcn,1.0,1.0
