x,y,i,j,node,start_datetime,end_datetime,flux_m3,screen_top,screen_botm
501955.0,1174285.0,233,324,92126,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
506955.0,1174285.0,233,329,92131,2007-04-01,2007-04-30,-177.8,9999.0,9999.0
528955.0,1174285.0,233,351,92153,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
501955.0,1176285.0,235,324,92914,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
522955.0,1176285.0,235,345,92935,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
501955.0,1177285.0,236,324,93308,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
514955.0,1177285.0,236,337,93321,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
522955.0,1177285.0,236,345,93329,2007-04-01,2007-04-30,-248.92001000000002,9999.0,9999.0
523955.0,1177285.0,236,346,93330,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
531955.0,1177285.0,236,354,93338,2007-04-01,2007-04-30,-426.72,9999.0,9999.0
532955.0,1177285.0,236,355,93339,2007-04-01,2007-04-30,-604.52,9999.0,9999.0
509955.0,1178285.0,237,332,93710,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
514955.0,1178285.0,237,337,93715,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
523955.0,1178285.0,237,346,93724,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
514955.0,1179285.0,238,337,94109,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
516955.0,1180285.0,239,339,94505,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
517955.0,1180285.0,239,340,94506,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
524955.0,1180285.0,239,347,94513,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
525955.0,1180285.0,239,348,94514,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
527955.0,1180285.0,239,350,94516,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
530955.0,1180285.0,239,353,94519,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
515955.0,1181285.0,240,338,94898,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
516955.0,1181285.0,240,339,94899,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
517955.0,1181285.0,240,340,94900,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
522955.0,1181285.0,240,345,94905,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
529955.0,1181285.0,240,352,94912,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
509955.0,1182285.0,241,332,95286,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
517955.0,1182285.0,241,340,95294,2007-04-01,2007-04-30,-213.36,9999.0,9999.0
518955.0,1182285.0,241,341,95295,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
519955.0,1182285.0,241,342,95296,2007-04-01,2007-04-30,-853.44,9999.0,9999.0
521955.0,1182285.0,241,344,95298,2007-04-01,2007-04-30,-248.92001000000002,9999.0,9999.0
522955.0,1182285.0,241,345,95299,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
523955.0,1182285.0,241,346,95300,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
528955.0,1182285.0,241,351,95305,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
529955.0,1182285.0,241,352,95306,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
499955.0,1183285.0,242,322,95670,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
501955.0,1183285.0,242,324,95672,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
518955.0,1183285.0,242,341,95689,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
520955.0,1183285.0,242,343,95691,2007-04-01,2007-04-30,-177.8,9999.0,9999.0
521955.0,1183285.0,242,344,95692,2007-04-01,2007-04-30,-320.04,9999.0,9999.0
528955.0,1183285.0,242,351,95699,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
500955.0,1184285.0,243,323,96065,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
502955.0,1184285.0,243,325,96067,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
503955.0,1184285.0,243,326,96068,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
508955.0,1184285.0,243,331,96073,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
520955.0,1184285.0,243,343,96085,2007-04-01,2007-04-30,-142.24002,9999.0,9999.0
523955.0,1184285.0,243,346,96088,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
527955.0,1184285.0,243,350,96092,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
499955.0,1185285.0,244,322,96458,2007-04-01,2007-04-30,-35.560005,9999.0,9999.0
500955.0,1185285.0,244,323,96459,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
501955.0,1185285.0,244,324,96460,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
503955.0,1185285.0,244,326,96462,2007-04-01,2007-04-30,-106.68,9999.0,9999.0
509955.0,1185285.0,244,332,96468,2007-04-01,2007-04-30,-71.12001,9999.0,9999.0
