pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
0,-3.064037386530911,-9.519016487743933,0.0,1925189.0279626134,5599059.659983512,pk2,3.16759026,"(4, np.int64(77), np.int64(89))",5,78,90,0.9626098744425826,0.9659983512014151,0.9027962613385171,0
1,8.106283035551622,-5.8556105870803945,0.0,1925200.1982830355,5599063.323389413,pk2,3.16759026,"(3, np.int64(76), np.int64(91))",4,77,92,0.16574526261253067,0.33233894128352404,0.019828303554095327,0
2,8.073995824928486,5.900050120044522,0.0,1925200.1659958248,5599075.07905012,pk2,3.16759026,"(4, np.int64(75), np.int64(91))",5,76,92,0.9100662707477937,0.5079050119966269,0.016599582484923305,0
3,-3.116279190721079,9.502042096595805,0.0,1925188.9757208093,5599078.681042097,pk2,3.16759026,"(3, np.int64(75), np.int64(89))",4,76,90,0.27140413449025463,0.8681042096577585,0.897572080930695,0
4,-9.999962283228124,-0.027465141816010088,0.0,1925182.0920377166,5599069.151534858,pk2,3.16759026,"(3, np.int64(76), np.int64(89))",4,77,90,0.2143985972095484,0.9151534858159721,0.209203771664761,0
5,5.578492828014774,-8.299422737021397,0.02631578947368421,1925197.670492828,5599060.879577262,pk2,3.193906049473684,"(3, np.int64(76), np.int64(90))",4,77,91,0.2419694591213027,0.0879577262327075,0.7670492827892303,0
6,9.617069162387683,2.7407992859477783,0.02631578947368421,1925201.7090691624,5599071.919799286,pk2,3.193906049473684,"(4, np.int64(75), np.int64(91))",5,76,92,0.925934769428486,0.19197992859408258,0.17090691623743623,0
7,0.3651827864992973,9.993329852078567,0.02631578947368421,1925192.4571827864,5599079.172329851,pk2,3.193906049473684,"(3, np.int64(75), np.int64(90))",4,76,91,0.29980931144987477,0.9172329851426184,0.24571827864274381,0
8,-9.391373788224723,3.435418223425735,0.02631578947368421,1925182.7006262117,5599072.614418223,pk2,3.193906049473684,"(3, np.int64(75), np.int64(89))",4,76,90,0.29027456529660417,0.26144182225689294,0.2700626211706549,0
9,-6.169370988677033,-7.870124624430681,0.02631578947368421,1925185.9226290113,5599061.308875375,pk2,3.193906049473684,"(3, np.int64(76), np.int64(89))",4,77,90,0.23279543597713187,0.13088753754273058,0.5922629011329263,0
10,-4.454922810019286,-8.952857798310541,0.05263157894736842,1925187.63707719,5599060.226142202,pk2,3.2202218389473685,"(3, np.int64(76), np.int64(89))",4,77,90,0.25119227474471567,0.022614220157265663,0.7637077189981938,0
11,7.138026891622566,-7.003468575960992,0.05263157894736842,1925199.2300268915,5599062.175531424,pk2,3.2202218389473685,"(3, np.int64(76), np.int64(90))",4,77,91,0.2604418860474687,0.2175531423650682,0.9230026891455054,0
12,8.866466041652796,4.624476179224823,0.05263157894736842,1925200.9584660416,5599073.803476179,pk2,3.2202218389473685,"(4, np.int64(75), np.int64(91))",5,76,92,0.9418032681091786,0.38034761790186167,0.09584660416003317,0
13,-1.6582495177843979,9.861552034886182,0.05263157894736842,1925190.4337504823,5599079.040552034,pk2,3.2202218389473685,"(3, np.int64(75), np.int64(90))",4,76,91,0.31875830272317707,0.9040552034042776,0.0433750482276082,0
14,-9.891320605471677,1.4702981601605276,0.05263157894736842,1925182.2006793944,5599070.649298159,pk2,3.2202218389473685,"(3, np.int64(75), np.int64(89))",4,76,90,0.30914499610295404,0.06492981594055891,0.2200679394416511,0
15,-1.3867358137920252,-9.903381431750802,0.07894736842105263,1925190.7052641863,5599059.275618568,pk2,3.2465376284210525,"(4, np.int64(77), np.int64(90))",5,78,91,0.8349069756019165,0.9275618568062782,0.07052641862537712,0
16,8.99015051085292,-4.379177296275065,0.07894736842105263,1925201.0821505107,5599064.799822703,pk2,3.2465376284210525,"(3, np.int64(76), np.int64(91))",4,77,92,0.21972316856606802,0.4799822703003883,0.1082150510745123,0
17,6.94295439347636,7.1969010198909436,0.07894736842105263,1925199.0349543935,5599076.375901019,pk2,3.2465376284210525,"(3, np.int64(75), np.int64(90))",4,76,91,0.337707293996479,0.6375901019200683,0.9034954393515363,0
18,-4.699168713344109,8.827106740236456,0.07894736842105263,1925187.3928312866,5599078.00610674,pk2,3.2465376284210525,"(3, np.int64(75), np.int64(89))",4,76,90,0.32801542690930363,0.8006106739863753,0.7392831286648288,0
19,-9.847200377193138,-1.7414490321015175,0.07894736842105263,1925182.2447996228,5599067.437550968,pk2,3.2465376284210525,"(3, np.int64(76), np.int64(89))",4,77,90,0.26958911351229914,0.7437550967559219,0.22447996228002012,0
20,9.538473583969726,-3.002918861360018,0.10526315789473684,1925201.630473584,5599066.176081138,pk2,3.2728534178947366,"(3, np.int64(76), np.int64(91))",4,77,92,0.2377158038839137,0.6176081137731672,0.16304735839366913,0
21,5.803495988845226,8.143674496654281,0.10526315789473684,1925197.895495989,5599077.322674496,pk2,3.2728534178947366,"(3, np.int64(75), np.int64(90))",4,76,91,0.35665628526978094,0.7322674496099353,0.7895495988894254,0
22,-5.951715809289702,8.035986493608052,0.10526315789473684,1925186.1402841907,5599077.214986493,pk2,3.2728534178947366,"(3, np.int64(75), np.int64(89))",4,76,90,0.34688585771565317,0.7214986492879689,0.6140284190652892,0
23,-9.481858650366341,-3.1771617104694205,0.10526315789473684,1925182.6101413495,5599066.001838289,pk2,3.2728534178947366,"(3, np.int64(76), np.int64(89))",4,77,90,0.2879859522798826,0.600183828920126,0.2610141349490732,0
24,0.09160488684109562,-9.999580418432908,0.10526315789473684,1925192.1836048868,5599059.179419581,pk2,3.2728534178947366,"(4, np.int64(77), np.int64(90))",5,78,91,0.8497803672580048,0.9179419580847025,0.21836048867553473,0
25,9.968163506005439,0.7973182034428622,0.13157894736842105,1925202.0601635058,5599069.976318203,pk2,3.299169207368421,"(3, np.int64(76), np.int64(91))",4,77,92,0.2557084392017597,0.9976318202912807,0.20601635058410467,0
26,2.3220372531187596,9.726671732670363,0.13157894736842105,1925194.414037253,5599078.9056717325,pk2,3.299169207368421,"(3, np.int64(75), np.int64(90))",4,76,91,0.3756052765430832,0.8905671732500196,0.44140372530091554,0
27,-8.533065560434602,5.214095524760253,0.13157894736842105,1925183.5589344394,5599074.393095524,pk2,3.299169207368421,"(3, np.int64(75), np.int64(89))",4,76,90,0.36575628852200304,0.43930955240502956,0.35589344394393263,0
28,-7.595761797698515,-6.504183477779807,0.13157894736842105,1925184.4962382023,5599062.674816522,pk2,3.299169207368421,"(3, np.int64(76), np.int64(89))",4,77,90,0.30638279104746635,0.2674816521815956,0.44962382023222747,0
29,3.838626599008917,-9.233901983093672,0.13157894736842105,1925195.930626599,5599059.945098016,pk2,3.299169207368421,"(4, np.int64(77), np.int64(90))",5,78,91,0.8646537589140934,0.9945098016411066,0.5930626598885282,0
30,-8.561910912306672,5.166592835682325,0.15789473684210525,1925183.5300890876,5599074.345592835,pk2,3.325484996842105,"(3, np.int64(75), np.int64(89))",4,76,90,0.3846267193283526,0.4345592834986746,0.35300890875514596,0
31,-7.559497759646603,-6.546296175846155,0.15789473684210525,1925184.5325022403,5599062.632703824,pk2,3.325484996842105,"(3, np.int64(76), np.int64(89))",4,77,90,0.3247796298150498,0.26327038239687683,0.45325022402685133,0
32,3.889884358966392,-9.212426372778706,0.15789473684210525,1925195.981884359,5599059.966573627,pk2,3.325484996842105,"(4, np.int64(77), np.int64(90))",5,78,91,0.8795271505701816,0.9966573626734316,0.5981884358916432,0
