pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
0,-3.064037386530911,-9.519016487743933,0.0,1925286.5869626135,5599043.702983513,pw,8.37180996,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.23740597354101517,0.3702983512543142,0.6586962613509968,0
1,8.106283035551622,-5.8556105870803945,0.0,1925297.7572830357,5599047.366389413,pw,8.37180996,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.7366389413364232,0.7757283035665751,0
2,8.073995824928486,5.900050120044522,0.0,1925297.724995825,5599059.1220501205,pw,8.37180996,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.912205012049526,0.772499582497403,0
3,-3.116279190721079,9.502042096595805,0.0,1925286.5347208094,5599062.724042097,pw,8.37180996,"(0, np.int64(76), np.int64(99))",1.0,77.0,100.0,0.9872840273543562,0.2724042097106576,0.6534720809431747,0
4,-9.999962283228124,-0.027465141816010088,0.0,1925279.6510377168,5599053.194534859,pw,8.37180996,"(1, np.int64(77), np.int64(98))",2.0,78.0,99.0,0.5893340818817515,0.31945348586887123,0.9651037716772407,0
5,5.578492828014774,-8.299422737021397,0.02631578947368421,1925295.229492828,5599044.922577263,pw,8.398125749473685,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.4922577262856066,0.52294928280171,0
6,9.617069162387683,2.7407992859477783,0.02631578947368421,1925299.2680691625,5599055.9627992865,pw,8.398125749473685,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.5962799286469818,0.926806916249916,0
7,0.3651827864992973,9.993329852078567,0.02631578947368421,1925290.0161827866,5599063.215329852,pw,8.398125749473685,"(0, np.int64(76), np.int64(100))",1.0,77.0,101.0,0.999999,0.32153298519551754,0.0016182786552235485,0
8,-9.391373788224723,3.435418223425735,0.02631578947368421,1925280.2596262118,5599056.657418223,pw,8.398125749473685,"(0, np.int64(77), np.int64(99))",1.0,78.0,100.0,0.6796476387141935,0.6657418223097921,0.025962621183134617,0
9,-6.169370988677033,-7.870124624430681,0.02631578947368421,1925283.4816290115,5599045.351875376,pw,8.398125749473685,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.253869136720823,0.5351875375956296,0.34816290114540605,0
10,-4.454922810019286,-8.952857798310541,0.05263157894736842,1925285.19607719,5599044.269142202,pw,8.424441538947368,"(0, np.int64(78), np.int64(99))",1.0,79.0,100.0,0.2703322999006297,0.4269142202101648,0.5196077190106735,0
11,7.138026891622566,-7.003468575960992,0.05263157894736842,1925296.7890268916,5599046.218531424,pw,8.424441538947368,"(0, np.int64(78), np.int64(100))",1.0,79.0,101.0,0.999999,0.6218531424179673,0.6789026891579851,0
12,8.866466041652796,4.624476179224823,0.05263157894736842,1925298.5174660417,5599057.84647618,pw,8.424441538947368,"(0, np.int64(77), np.int64(100))",1.0,78.0,101.0,0.999999,0.7846476179547608,0.8517466041725129,0
