pnum,dx,dy,dz,x,y,site,elev,kij,k,i,j,rk,ri,rj,dum
0,-3.064037386530911,-9.519016487743933,0.0,1925164.2229626135,5599051.500983512,spring,8.0284996,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.8173320753664557,0.15009835120290518,0.42229626134503634,0
1,8.106283035551622,-5.8556105870803945,0.0,1925175.3932830356,5599055.164389413,spring,8.0284996,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.40307991925872727,0.5164389412850141,0.5393283035606146,0
2,8.073995824928486,5.900050120044522,0.0,1925175.360995825,5599066.92005012,spring,8.0284996,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.5022889447848343,0.6920050119981169,0.5360995824914425,0
3,-3.116279190721079,9.502042096595805,0.0,1925164.1707208094,5599070.522042097,spring,8.0284996,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.10758870659249972,0.05220420965924859,0.4170720809372142,0
4,-9.999962283228124,-0.027465141816010088,0.0,1925157.2870377167,5599060.992534858,spring,8.0284996,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.8390397630459808,0.09925348581746221,0.7287037716712803,0
5,5.578492828014774,-8.299422737021397,0.02631578947368421,1925172.865492828,5599052.720577262,spring,8.054815389473685,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.42079011686191525,0.2720577262341976,0.2865492827957496,0
6,9.617069162387683,2.7407992859477783,0.02631578947368421,1925176.9040691624,5599063.760799286,spring,8.054815389473685,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.5203243293833966,0.3760799285955727,0.6904069162439554,0
7,0.3651827864992973,9.993329852078567,0.02631578947368421,1925167.6521827865,5599071.013329851,spring,8.054815389473685,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.12433034392391466,0.10133298514410853,0.7652182786492631,0
8,-9.391373788224723,3.435418223425735,0.02631578947368421,1925157.8956262118,5599064.455418223,spring,8.054815389473685,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.854901151599716,0.445541822258383,0.7895626211771741,0
9,-6.169370988677033,-7.870124624430681,0.02631578947368421,1925161.1176290114,5599053.149875375,spring,8.054815389473685,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.8364001072543241,0.3149875375442207,0.1117629011394456,0
10,-4.454922810019286,-8.952857798310541,0.05263157894736842,1925162.83207719,5599052.067142202,spring,8.081131178947368,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.8554681391421912,0.2067142201587558,0.283207719004713,0
11,7.138026891622566,-7.003468575960992,0.05263157894736842,1925174.4250268915,5599054.016531424,spring,8.081131178947368,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.43850031446510196,0.4016531423665583,0.4425026891520247,0
12,8.866466041652796,4.624476179224823,0.05263157894736842,1925176.1534660417,5599065.644476179,spring,8.081131178947368,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.5383597139819576,0.5644476179033517,0.6153466041665524,0
13,-1.6582495177843979,9.861552034886182,0.05263157894736842,1925165.6287504823,5599070.881552034,spring,8.081131178947368,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.1410719812553285,0.08815520340576768,0.5628750482341275,0
14,-9.891320605471677,1.4702981601605276,0.05263157894736842,1925157.3956793945,5599062.490298159,spring,8.081131178947368,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.8707625401534503,0.24902981594204904,0.7395679394481703,0
15,-1.3867358137920252,-9.903381431750802,0.07894736842105263,1925165.9002641863,5599051.116618568,spring,8.107446968421053,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.8745361710300597,0.11166185680776834,0.5900264186318964,0
16,8.99015051085292,-4.379177296275065,0.07894736842105263,1925176.2771505108,5599056.640822703,spring,8.107446968421053,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.4562105120682899,0.6640822703018785,0.6277150510810315,0
17,6.94295439347636,7.1969010198909436,0.07894736842105263,1925174.2299543936,5599068.216901019,spring,8.107446968421053,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.5563950985805199,0.8216901019215583,0.4229954393580556,0
18,-4.699168713344109,8.827106740236456,0.07894736842105263,1925162.5878312867,5599069.84710674,spring,8.107446968421053,"(0, np.int64(76), np.int64(87))",1.0,77.0,88.0,0.7037795734347362,0.9847106739878655,0.2587831286713481,0
19,-9.847200377193138,-1.7414490321015175,0.07894736842105263,1925157.4397996229,5599059.278550968,spring,8.107446968421053,"(1, np.int64(77), np.int64(86))",2.0,78.0,87.0,0.8981529788103361,0.927855096757412,0.7439799622865394,0
20,9.538473583969726,-3.002918861360018,0.10526315789473684,1925176.825473584,5599058.017081138,spring,8.133762757894736,"(0, np.int64(77), np.int64(88))",1.0,78.0,89.0,0.47392070967147665,0.8017081137746572,0.6825473584001884,0
21,5.803495988845226,8.143674496654281,0.10526315789473684,1925173.090495989,5599069.163674496,spring,8.133762757894736,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.574430483179081,0.9163674496114254,0.30904959889594463,0
22,-5.951715809289702,8.035986493608052,0.10526315789473684,1925161.3352841907,5599069.055986493,spring,8.133762757894736,"(0, np.int64(76), np.int64(87))",1.0,77.0,88.0,0.7222933500950645,0.905598649289459,0.13352841907180846,0
23,-9.481858650366341,-3.1771617104694205,0.10526315789473684,1925157.8051413496,5599057.842838289,spring,8.133762757894736,"(1, np.int64(77), np.int64(86))",2.0,78.0,87.0,0.914051789281909,0.7842838289216161,0.7805141349555924,0
24,0.09160488684109562,-9.999580418432908,0.10526315789473684,1925167.3786048868,5599051.020419581,spring,8.133762757894736,"(0, np.int64(77), np.int64(87))",1.0,78.0,88.0,0.8936042029179269,0.10204195808619261,0.737860488682054,0
25,9.968163506005439,0.7973182034428622,0.13157894736842105,1925177.255163506,5599061.817318203,spring,8.160078547368421,"(0, np.int64(76), np.int64(88))",1.0,77.0,89.0,0.5924658677776432,0.18173182029277085,0.7255163505906239,0
26,2.3220372531187596,9.726671732670363,0.13157894736842105,1925169.609037253,5599070.7466717325,spring,8.160078547368421,"(0, np.int64(75), np.int64(87))",1.0,76.0,88.0,0.1912968932495722,0.07466717325150966,0.9609037253074348,0
27,-8.533065560434602,5.214095524760253,0.13157894736842105,1925158.7539344395,5599066.234095524,spring,8.160078547368421,"(1, np.int64(76), np.int64(86))",2.0,77.0,87.0,0.9183467058146552,0.6234095524065196,0.8753934439504519,0
28,-7.595761797698515,-6.504183477779807,0.13157894736842105,1925159.6912382024,5599054.515816522,spring,8.160078547368421,"(1, np.int64(77), np.int64(86))",2.0,78.0,87.0,0.929950599753483,0.45158165218308566,0.9691238202387467,0
